London,,,,,,,,,,,,
E12000007,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,
,,Q2,,"76,000 ",,"80,000 ",,"80,000 ",,"65,000 ",,"100,000 "
,,Q3,,"67,000 ",,"80,000 ",,"80,000 ",,"65,000 ",,"105,000 "
,,Q4,,"73,000 ",,"76,000 ",,"76,000 ",,"63,000 ",,"104,000 "
,1993,Q1,,"73,000 ",,"79,000 ",,"79,000 ",,"63,000 ",,"112,000 "
,,Q2,,"79,000 ",,"82,000 ",,"81,000 ",,"67,000 ",,"110,000 "
,,Q3,,"85,000 ",,"82,000 ",,"83,000 ",,"66,000 ",,"111,000 "
,,Q4,,"75,000 ",,"80,000 ",,"81,000 ",,"65,000 ",,"109,000 "
,1994,Q1,,"72,000 ",,"79,000 ",,"80,000 ",,"63,000 ",,"113,000 "
,,Q2,,"75,000 ",,"89,000 ",,"90,000 ",,"71,000 ",,"120,000 "
,,Q3,,"74,000 ",,"93,000 ",,"93,000 ",,"71,000 ",,"126,000 "
,,Q4,,"79,000 ",,"87,000 ",,"87,000 ",,"71,000 ",,"118,000 "
,1995,Q1,,"93,000 ",,"86,000 ",,"88,000 ",,"71,000 ",,"117,000 "
,,Q2,,"82,000 ",,"87,000 ",,"88,000 ",,"66,000 ",,"119,000 "
,,Q3,,"81,000 ",,"91,000 ",,"92,000 ",,"63,000 ",,"126,000 "
,,Q4,,"80,000 ",,"90,000 ",,"90,000 ",,"63,000 ",,"125,000 "
,1996,Q1,,"85,000 ",,"89,000 ",,"90,000 ",,"64,000 ",,"120,000 "
,,Q2,,"105,000 ",,"87,000 ",,"89,000 ",,"65,000 ",,"116,000 "
,,Q3,,"95,000 ",,"97,000 ",,"96,000 ",,"69,000 ",,"124,000 "
,,Q4,,"112,000 ",,"100,000 ",,"100,000 ",,"70,000 ",,"131,000 "
,1997,Q1,,"138,000 ",,"100,000 ",,"102,000 ",,"69,000 ",,"130,000 "
,,Q2,,"111,000 ",,"104,000 ",,"105,000 ",,"69,000 ",,"139,000 "
,,Q3,,"111,000 ",,"109,000 ",,"110,000 ",,"79,000 ",,"143,000 "
,,Q4,,"119,000 ",,"104,000 ",,"104,000 ",,"77,000 ",,"134,000 "
,1998,Q1,,"117,000 ",,"105,000 ",,"106,000 ",,"78,000 ",,"137,000 "
,,Q2,,"126,000 ",,"115,000 ",,"115,000 ",,"90,000 ",,"148,000 "
,,Q3,,"126,000 ",,"120,000 ",,"121,000 ",,"101,000 ",,"150,000 "
,,Q4,,"133,000 ",,"119,000 ",,"119,000 ",,"92,000 ",,"152,000 "
,1999,Q1,,"145,000 ",,"125,000 ",,"126,000 ",,"99,000 ",,"156,000 "
,,Q2,,"192,000 ",,"134,000 ",,"137,000 ",,"116,000 ",,"167,000 "
,,Q3,,"186,000 ",,"148,000 ",,"150,000 ",,"120,000 ",,"184,000 "
,,Q4,,"185,000 ",,"149,000 ",,"151,000 ",,"121,000 ",,"185,000 "
,2000,Q1,,"170,000 ",,"156,000 ",,"156,000 ",,"130,000 ",,"188,000 "
,,Q2,,"209,000 ",,"165,000 ",,"167,000 ",,"122,000 ",,"218,000 "
,,Q3,,"203,000 ",,"159,000 ",,"161,000 ",,"124,000 ",,"200,000 "
,,Q4,,"260,000 ",,"165,000 ",,"170,000 ",,"125,000 ",,"215,000 "
,2001,Q1,,"215,000 ",,"176,000 ",,"173,000 ",,"137,000 ",,"210,000 "
,,Q2,,"208,000 ",,"189,000 ",,"184,000 ",,"141,000 ",,"224,000 "
,,Q3,,"238,000 ",,"185,000 ",,"187,000 ",,"143,000 ",,"231,000 "
,,Q4,,"207,000 ",,"182,000 ",,"183,000 ",,"144,000 ",,"219,000 "
,2002,Q1,,"197,000 ",,"183,000 ",,"184,000 ",,"149,000 ",,"209,000 "
,,Q2,,"233,000 ",,"203,000 ",,"206,000 ",,"163,000 ",,"231,000 "
,,Q3,,"258,000 ",,"219,000 ",,"222,000 ",,"185,000 ",,"246,000 "
,,Q4,,"249,000 ",,"209,000 ",,"210,000 ",,"178,000 ",,"227,000 "
,2003,Q1,,"281,000 ",,"215,000 ",,"217,000 ",,"176,000 ",,"229,000 "
,,Q2,,"319,000 ",,"218,000 ",,"224,000 ",,"181,000 ",,"245,000 "
,,Q3,,"326,000 ",,"250,000 ",,"252,000 ",,"179,000 ",,"285,000 "
,,Q4,,"314,000 ",,"252,000 ",,"254,000 ",,"187,000 ",,"280,000 "
,2004,Q1,,"314,000 ",,"260,000 ",,"264,000 ",,"194,000 ",,"294,000 "
,,Q2,,"319,000 ",,"274,000 ",,"277,000 ",,"204,000 ",,"303,000 "
,,Q3,,"309,000 ",,"276,000 ",,"281,000 ",,"211,000 ",,"306,000 "
,,Q4,,"300,000 ",,"265,000 ",,"269,000 ",,"207,000 ",,"294,000 "
,2005,Q1,,"307,000 ",,"270,000 ",,"273,000 ",,"208,000 ",,"299,000 "
,,Q2,,"330,000 ",,"282,000 ",,"287,000 ",,"217,000 ",,"311,000 "
,,Q3,,"326,000 ",,"294,000 ",,"296,000 ",,"223,000 ",,"326,000 "
,,Q4,,"294,000 ",,"273,000 ",,"274,000 ",,"216,000 ",,"328,000 "
,2006,Q1,,"276,000 ",,"294,000 ",,"293,000 ",,"229,000 ",,"348,000 "
,,Q2,,"288,000 ",,"304,000 ",,"303,000 ",,"238,000 ",,"356,000 "
,,Q3,,"267,000 ",,"317,000 ",,"315,000 ",,"241,000 ",,"376,000 "
,,Q4,,"277,000 ",,"313,000 ",,"311,000 ",,"240,000 ",,"369,000 "
,2007,Q1,,"271,000 ",,"336,000 ",,"333,000 ",,"250,000 ",,"398,000 "
,,Q2,,"284,000 ",,"343,000 ",,"340,000 ",,"258,000 ",,"405,000 "
